"tenure","age","marital","address","ed","employ","retire","gender","reside","custcat","churn"
"6","24","0","2","1","1","0.00","0","1","3","0"
"25","46","0","13","1","12","0.00","1","1","3","0"
"15","39","0","19","2","2","0.00","0","1","2","1"
"32","35","0","12","4","5","0.00","0","1","2","0"
"22","39","0","0","4","9","0.00","0","1","2","1"
"8","22","0","3","4","0","0.00","0","1","3","0"
"3","31","1","4","1","1","0.00","0","2","1","1"
"32","54","0","6","2","20","0.00","0","1","1","0"
"49","54","0","24","2","5","0.00","0","1","2","0"
"2","28","0","7","3","0","0.00","1","1","4","0"
"39","47","0","1","4","10","0.00","1","2","2","1"
"42","33","0","2","2","5","0.00","0","2","2","0"
"28","36","0","3","3","2","0.00","0","1","4","0"
"41","46","1","14","2","11","0.00","0","5","4","0"
"67","50","1","31","2","12","0.00","0","2","2","0"
"38","40","0","15","2","11","0.00","1","1","2","0"
"18","38","0","8","2","2","0.00","1","4","4","1"
"6","42","1","17","2","2","0.00","1","2","4","0"
"4","36","0","0","2","1","0.00","1","3","1","0"
"13","23","1","3","3","0","0.00","1","4","4","0"
"20","35","0","0","4","7","0.00","0","1","4","1"
"34","49","1","27","3","15","0.00","1","2","3","0"
"46","29","1","4","5","3","0.00","0","4","4","0"
"48","41","0","21","2","7","0.00","0","1","2","0"
"69","61","1","12","2","37","0.00","0","2","3","0"
"32","34","1","7","2","15","0.00","0","4","1","0"
"29","29","0","9","2","9","0.00","0","2","2","0"
"55","52","0","22","1","28","0.00","1","3","2","0"
"72","60","1","36","1","43","0.00","1","2","3","0"
"29","26","0","1","3","2","0.00","1","1","1","1"
"50","25","1","1","4","2","0.00","1","5","4","0"
"35","50","1","11","3","21","0.00","0","2","1","1"
"11","63","0","9","3","3","0.00","0","1","1","1"
"9","29","0","9","3","5","0.00","1","1","1","0"
"51","48","0","27","1","18","0.00","0","1","3","1"
"33","34","1","2","1","3","0.00","1","3","2","0"
"25","20","0","0","2","0","0.00","0","2","3","0"
"31","34","0","9","4","7","0.00","1","4","3","0"
"67","40","1","10","4","8","0.00","1","2","4","0"
"55","45","0","8","2","9","0.00","0","3","3","0"
"19","50","0","7","4","3","0.00","1","1","4","0"
"39","34","1","11","4","10","0.00","1","4","4","0"
"52","35","1","8","4","1","0.00","0","2","3","0"
"55","37","1","15","2","0","0.00","1","5","3","0"
"25","62","0","27","4","33","1.00","1","1","4","1"
"33","58","0","12","2","23","1.00","1","1","1","0"
"48","35","0","5","4","12","0.00","0","2","3","1"
"48","31","1","12","4","3","0.00","0","3","4","0"
"49","57","0","3","1","31","0.00","1","3","1","0"
"54","32","1","0","1","15","0.00","0","3","3","1"
"45","32","1","9","1","15","0.00","0","4","1","0"
"4","37","1","1","2","15","0.00","1","5","1","1"
"49","27","1","3","3","6","0.00","1","3","2","1"
"23","35","0","2","3","4","0.00","0","1","4","1"
"31","44","0","23","5","15","0.00","0","1","2","1"
"55","44","1","2","2","15","0.00","0","5","3","0"
"9","28","0","7","1","4","0.00","1","6","1","0"
"55","57","1","25","2","12","0.00","0","3","1","0"
"34","30","0","3","2","2","0.00","1","3","3","0"
"10","23","0","4","2","1","0.00","0","3","3","0"
"62","76","0","20","3","18","1.00","1","1","2","0"
"51","36","0","13","3","9","0.00","0","2","4","0"
"65","48","0","28","1","25","0.00","0","1","2","0"
"53","33","0","1","1","6","0.00","0","2","4","0"
"23","35","0","4","2","11","0.00","0","1","1","1"
"1","30","0","3","4","3","0.00","0","3","1","1"
"66","55","0","20","2","24","0.00","1","1","3","0"
"8","27","1","0","3","3","0.00","1","2","2","0"
"18","28","1","3","1","2","0.00","1","5","1","0"
"36","32","1","3","4","7","0.00","0","4","2","0"
"13","40","0","16","2","18","0.00","1","1","1","1"
"4","44","0","15","3","0","0.00","1","1","3","1"
"20","32","0","10","3","5","0.00","0","1","2","0"
"66","39","1","12","4","10","0.00","0","3","4","0"
"67","47","1","7","1","23","0.00","0","4","3","0"
"11","24","1","0","2","3","0.00","1","4","4","1"
"6","26","0","7","3","1","0.00","1","2","1","1"
"13","23","1","4","1","5","0.00","1","4","1","0"
"2","29","1","3","2","9","0.00","1","6","4","1"
"4","40","0","12","2","5","0.00","0","1","1","0"
"34","63","1","10","2","0","0.00","1","2","4","0"
"13","34","1","6","3","6","0.00","0","4","3","0"
"37","40","1","14","2","0","0.00","0","5","2","0"
"45","30","1","8","2","5","0.00","0","6","3","0"
"71","70","0","30","3","34","1.00","1","1","3","0"
"35","40","0","5","1","20","0.00","1","1","1","0"
"44","41","0","21","3","7","0.00","0","1","1","0"
"44","45","1","19","1","21","0.00","0","2","3","0"
"26","41","1","20","1","0","0.00","1","6","1","0"
"42","46","1","9","1","12","0.00","1","3","1","0"
"41","47","1","6","2","19","0.00","0","3","1","1"
"31","24","1","3","1","0","0.00","0","4","1","0"
"62","63","0","43","2","30","0.00","0","1","3","1"
"12","23","1","2","4","0","0.00","1","8","4","0"
"45","49","1","27","2","7","0.00","1","4","3","0"
"47","34","1","4","2","13","0.00","1","4","1","0"
"23","22","1","1","1","4","0.00","0","5","3","0"
"39","34","0","4","5","3","0.00","1","1","4","0"
"19","26","0","2","3","0","0.00","0","2","3","0"
"13","54","0","12","4","23","0.00","0","1","3","0"
"5","33","0","6","3","4","0.00","0","3","4","1"
"11","19","0","0","2","0","0.00","0","1","1","1"
"4","32","0","2","4","5","0.00","0","1","1","1"
"17","42","0","8","1","23","0.00","0","1","2","1"
"7","27","0","3","3","2","0.00","0","1","1","1"
"19","65","0","3","1","33","0.00","0","3","3","0"
"32","34","1","0","1","10","0.00","0","4","2","0"
"53","51","0","31","4","0","0.00","0","1","2","0"
"51","38","0","19","1","18","0.00","1","1","3","0"
"35","34","0","7","4","10","0.00","1","1","1","0"
"3","31","1","4","4","4","0.00","0","5","4","1"
"22","48","0","7","4","12","0.00","0","1","1","1"
"17","21","1","0","2","1","0.00","1","3","3","0"
"68","39","0","20","2","16","0.00","1","1","2","0"
"27","41","1","7","4","15","0.00","1","2","3","0"
"68","52","1","8","3","30","0.00","1","4","3","0"
"56","42","1","10","2","5","0.00","0","2","3","0"
"11","32","0","8","2","0","0.00","1","1","1","0"
"5","47","0","7","1","6","0.00","1","1","1","1"
"16","50","0","5","2","29","0.00","1","3","3","0"
"59","30","0","2","4","2","0.00","1","1","2","0"
"60","64","0","14","2","13","1.00","0","1","4","0"
"55","47","0","11","1","11","0.00","0","1","3","0"
"18","56","0","22","2","25","0.00","0","1","1","0"
"16","22","0","0","3","0","0.00","1","3","2","1"
"35","57","1","32","4","12","0.00","0","2","2","0"
"31","23","1","1","3","1","0.00","1","2","4","1"
"20","49","1","5","2","29","0.00","1","2","1","0"
"16","27","0","5","4","2","0.00","1","1","4","1"
"69","48","1","27","2","4","0.00","0","2","3","0"
"69","66","1","31","2","15","0.00","0","2","1","0"
"27","24","1","3","1","7","0.00","1","4","1","1"
"48","39","0","20","4","9","0.00","0","1","3","0"
"18","52","1","20","1","19","0.00","1","2","1","0"
"24","40","1","4","3","5","0.00","1","2","3","0"
"17","42","0","6","2","2","0.00","0","1","4","1"
"9","24","1","3","4","1","0.00","1","3","1","0"
"15","46","0","5","4","15","0.00","1","2","4","1"
"62","37","1","10","4","1","0.00","1","3","2","0"
"9","41","0","12","4","3","0.00","0","1","1","1"
"71","41","1","10","2","23","0.00","1","2","3","0"
"62","59","1","37","1","20","0.00","0","2","3","0"
"20","38","0","19","4","13","0.00","0","1","4","0"
"19","33","1","11","1","3","0.00","0","5","3","0"
"49","61","1","28","1","8","0.00","0","2","3","0"
"3","64","0","3","2","6","1.00","0","1","1","1"
"33","36","0","2","5","10","0.00","0","1","1","1"
"38","44","0","1","4","7","0.00","1","1","2","1"
"42","48","1","14","3","5","0.00","1","3","4","0"
"11","26","0","2","3","3","0.00","0","1","4","1"
"27","28","1","0","3","0","0.00","0","2","3","0"
"23","50","0","1","4","8","0.00","1","1","1","0"
"4","38","1","13","2","4","0.00","0","2","3","0"
"36","42","0","5","1","4","0.00","1","1","1","1"
"37","42","0","10","1","22","0.00","1","1","3","0"
"24","58","1","30","1","5","0.00","0","2","1","0"
"4","24","0","1","2","2","0.00","0","3","1","1"
"54","33","0","5","2","13","0.00","1","2","3","0"
"7","49","0","8","1","0","0.00","1","1","3","1"
"10","28","0","9","4","1","0.00","0","1","4","1"
"24","35","1","10","5","6","0.00","1","2","2","0"
"12","31","0","8","4","4","0.00","0","1","1","1"
"45","54","0","25","3","33","0.00","1","1","3","0"
"59","55","1","29","3","21","0.00","1","2","2","0"
"3","21","1","1","3","0","0.00","1","4","1","0"
"8","35","0","6","5","7","0.00","0","1","4","1"
"16","59","0","5","2","37","0.00","1","2","4","0"
"32","33","0","1","1","12","0.00","1","1","1","0"
"8","49","0","14","4","9","0.00","1","1","4","1"
"9","28","1","8","3","4","0.00","0","3","2","1"
"12","19","1","0","2","0","0.00","1","4","2","0"
"24","43","1","15","4","4","0.00","0","6","4","0"
"72","75","0","48","2","6","1.00","1","1","2","0"
"58","61","0","42","4","18","0.00","1","1","2","0"
"70","44","1","24","2","18","0.00","0","3","3","0"
"9","25","0","3","1","4","0.00","1","1","1","1"
"49","25","0","1","5","0","0.00","1","1","2","0"
"52","54","0","7","3","22","0.00","0","1","3","0"
"10","42","1","10","4","9","0.00","1","6","4","1"
"14","52","1","2","3","5","0.00","0","2","3","0"
"19","27","1","3","2","4","0.00","0","6","4","0"
"12","36","1","4","4","10","0.00","1","4","2","1"
"65","59","0","27","3","31","0.00","1","1","2","0"
"67","40","1","14","3","11","0.00","0","2","3","0"
"29","24","1","3","1","7","0.00","0","2","3","0"
"55","46","0","8","2","19","0.00","1","1","1","0"
"71","67","1","25","1","23","0.00","1","2","3","0"
"5","44","1","2","3","14","0.00","1","3","3","1"
"60","58","0","0","4","21","0.00","1","3","2","0"
"10","40","0","6","3","6","0.00","1","1","1","1"
"52","64","0","44","3","7","0.00","0","1","4","0"
"61","43","1","22","2","11","0.00","0","3","2","0"
"61","29","1","5","2","11","0.00","0","4","2","0"
"67","47","1","19","3","12","0.00","0","3","3","0"
"41","42","1","12","4","5","0.00","0","4","2","0"
"30","28","0","1","1","8","0.00","1","1","1","1"
"24","46","0","12","2","6","0.00","0","1","4","0"
"72","75","0","37","1","44","1.00","1","1","2","0"
"17","35","0","7","2","11","0.00","0","1","4","1"
"65","72","0","46","2","0","1.00","0","1","3","0"
"15","30","1","8","2","11","0.00","0","5","4","0"
"34","33","0","8","3","2","0.00","1","1","2","1"
"26","43","0","23","5","4","0.00","1","1","2","1"
"36","45","0","22","3","15","0.00","1","1","2","0"
"60","48","0","29","2","26","0.00","1","1","3","0"
"16","54","0","20","1","29","0.00","0","4","3","0"
"1","33","0","5","4","6","0.00","1","1","1","1"
"56","30","1","9","5","2","0.00","0","4","2","0"
"6","50","0","5","2","0","0.00","0","1","2","0"
"48","34","0","7","3","2","0.00","1","1","2","0"
"34","36","1","17","1","4","0.00","0","2","3","0"
"54","42","1","0","4","2","0.00","0","5","4","1"
"38","31","1","2","2","7","0.00","1","4","4","0"
"25","55","0","15","1","7","0.00","1","1","1","1"
"47","69","1","17","3","39","0.00","1","4","4","1"
"72","62","1","35","5","31","0.00","0","2","4","0"
"6","35","1","6","4","3","0.00","1","3","4","0"
"30","51","1","9","5","21","0.00","1","2","1","0"
"65","70","1","9","2","39","1.00","1","2","4","0"
"22","44","1","19","4","1","0.00","0","2","3","0"
"60","53","0","32","1","28","0.00","0","1","3","0"
"19","32","0","12","4","5","0.00","1","1","4","1"
"18","25","0","4","2","7","0.00","1","3","1","0"
"9","37","1","10","4","5","0.00","1","6","1","1"
"1","34","1","6","1","0","0.00","1","2","1","1"
"10","28","1","2","4","0","0.00","1","3","4","0"
"45","34","1","14","4","0","0.00","0","4","2","1"
"25","28","1","6","4","4","0.00","1","4","3","1"
"66","39","0","1","2","15","0.00","1","1","2","0"
"27","67","0","1","4","19","1.00","1","1","3","1"
"19","41","0","5","4","6","0.00","0","1","1","0"
"17","41","1","9","4","3","0.00","0","6","1","0"
"16","36","0","13","4","4","0.00","0","1","1","0"
"8","42","1","2","4","17","0.00","1","3","1","0"
"3","25","0","0","4","0","0.00","1","1","4","1"
"59","57","0","26","3","36","0.00","1","1","1","0"
"45","37","0","2","3","14","0.00","1","1","2","0"
"66","62","0","31","2","4","0.00","1","1","2","0"
"28","50","1","7","1","3","0.00","0","2","1","0"
"15","38","1","11","5","11","0.00","0","3","1","1"
"39","34","1","10","3","13","0.00","1","4","4","0"
"38","33","0","4","2","5","0.00","1","2","3","0"
"34","29","0","5","3","4","0.00","1","2","2","0"
"60","57","1","18","5","30","1.00","0","2","4","0"
"72","65","1","33","1","41","1.00","1","4","3","0"
"42","42","1","9","2","13","0.00","0","8","3","0"
"32","37","0","9","2","7","0.00","0","1","1","0"
"48","50","1","4","4","19","0.00","1","2","4","1"
"63","37","1","1","4","9","0.00","1","6","2","0"
"45","27","1","3","3","2","0.00","0","4","2","0"
"68","42","0","16","4","12","0.00","0","1","2","0"
"6","29","1","4","2","5","0.00","1","2","1","0"
"68","57","1","33","2","0","0.00","1","2","4","1"
"72","68","1","26","2","36","1.00","1","2","4","0"
"53","38","1","15","3","6","0.00","1","4","2","0"
"20","51","1","11","4","6","0.00","0","3","3","0"
"70","35","1","4","2","9","0.00","0","3","2","0"
"32","47","0","25","2","6","0.00","1","1","1","0"
"61","52","1","23","1","0","0.00","0","2","3","1"
"24","25","1","3","4","0","0.00","0","3","2","0"
"56","61","1","14","1","16","1.00","1","2","1","0"
"54","59","0","28","2","15","0.00","0","1","2","0"
"43","38","1","7","3","8","0.00","1","3","4","0"
"19","35","0","7","3","5","0.00","1","1","4","1"
"5","43","0","16","3","17","0.00","1","1","3","0"
"24","61","1","6","4","3","0.00","1","4","1","1"
"62","35","1","2","2","8","0.00","1","2","2","0"
"14","40","0","13","5","11","0.00","1","1","4","1"
"60","48","1","22","3","21","0.00","1","3","4","0"
"30","74","1","12","1","3","1.00","1","2","3","0"
"40","42","1","16","3","17","0.00","0","4","2","1"
"42","50","1","17","2","15","0.00","1","4","1","0"
"20","34","0","14","3","9","0.00","1","1","2","1"
"4","22","1","1","2","2","0.00","1","3","3","0"
"44","49","1","2","2","8","0.00","1","4","4","0"
"49","63","0","18","2","2","1.00","0","1","3","0"
"5","36","1","2","1","4","0.00","1","2","3","1"
"70","50","1","29","1","22","0.00","0","4","2","0"
"30","57","1","16","1","1","0.00","0","4","1","1"
"28","48","0","20","4","4","0.00","1","1","4","1"
"5","28","1","3","5","1","0.00","0","6","4","0"
"27","35","0","12","1","3","0.00","1","1","4","0"
"17","39","0","12","4","10","0.00","1","1","1","1"
"4","37","1","8","1","1","0.00","1","5","1","0"
"30","23","1","0","2","1","0.00","1","4","3","0"
"71","40","1","19","4","14","0.00","1","2","4","0"
"67","77","0","55","1","45","1.00","1","1","1","0"
"24","48","1","3","1","16","0.00","1","2","1","0"
"24","54","1","7","3","10","0.00","1","2","1","1"
"59","54","0","32","1","22","0.00","1","1","3","0"
"59","32","0","9","4","5","0.00","0","1","2","1"
"44","37","1","1","4","8","0.00","1","6","2","0"
"19","31","1","0","4","2","0.00","0","3","2","1"
"58","46","1","23","1","2","0.00","1","2","1","0"
"41","53","1","22","2","25","0.00","0","2","2","0"
"16","33","0","1","3","7","0.00","0","4","3","1"
"13","36","0","11","2","0","0.00","0","1","1","1"
"60","53","0","22","1","37","0.00","1","1","3","0"
"72","49","1","23","1","27","0.00","1","6","2","0"
"33","39","0","17","4","3","0.00","1","1","4","0"
"72","45","1","25","4","20","0.00","1","2","4","0"
"66","54","1","8","4","25","0.00","1","2","4","0"
"53","37","1","7","1","2","0.00","1","6","3","0"
"22","28","1","0","4","0","0.00","0","4","4","0"
"14","26","1","1","2","0","0.00","1","3","3","0"
"52","49","0","18","2","13","0.00","1","2","3","0"
"33","30","1","5","1","0","0.00","0","2","3","0"
"72","66","0","26","2","37","1.00","1","1","3","0"
"40","40","1","3","4","12","0.00","1","4","3","1"
"29","26","0","1","4","2","0.00","1","1","4","1"
"63","67","0","22","2","12","1.00","0","1","3","0"
"56","54","0","25","3","31","0.00","1","1","2","0"
"60","50","1","26","2","19","0.00","1","2","4","0"
"28","22","1","3","3","1","0.00","0","5","1","0"
"39","39","0","19","4","6","0.00","0","1","2","0"
"65","39","1","18","2","15","0.00","0","4","3","0"
"29","31","0","7","3","7","0.00","1","1","3","0"
"28","36","0","8","2","13","0.00","1","2","3","0"
"2","18","0","0","2","0","0.00","0","1","3","1"
"67","52","0","13","2","20","0.00","1","3","3","0"
"5","35","1","9","3","8","0.00","1","5","4","0"
"48","35","0","10","2","6","0.00","0","1","3","0"
"10","26","1","4","1","4","0.00","1","3","1","0"
"17","28","0","3","3","2","0.00","1","1","3","1"
"21","24","1","0","4","0","0.00","1","5","4","0"
"25","51","0","9","4","13","0.00","0","2","4","0"
"44","31","0","8","1","3","0.00","0","1","1","1"
"59","49","0","28","4","23","0.00","1","2","4","1"
"11","26","0","7","2","4","0.00","0","1","1","0"
"50","68","1","32","3","28","0.00","0","2","3","0"
"23","25","1","2","3","1","0.00","1","5","2","0"
"17","19","0","0","2","0","0.00","1","2","2","1"
"15","62","1","3","3","21","0.00","0","2","3","0"
"68","57","1","38","1","9","0.00","1","2","2","0"
"69","42","1","23","3","0","0.00","1","2","1","0"
"30","24","1","3","1","7","0.00","1","5","1","1"
"22","30","0","8","2","8","0.00","0","1","3","0"
"10","20","1","1","2","0","0.00","1","4","1","1"
"72","59","1","12","3","21","0.00","1","6","2","0"
"34","24","1","5","4","0","0.00","1","2","3","0"
"43","49","1","18","1","22","0.00","0","4","3","0"
"31","37","1","15","4","5","0.00","0","3","4","0"
"6","27","1","5","4","2","0.00","0","5","1","1"
"48","42","0","21","4","4","0.00","0","1","3","0"
"50","25","0","6","1","5","0.00","0","3","1","0"
"20","41","1","19","2","6","0.00","1","2","2","0"
"61","73","0","10","1","21","1.00","0","1","1","0"
"6","21","0","0","2","1","0.00","1","1","1","0"
"1","22","0","2","2","2","0.00","0","1","1","1"
"21","43","0","13","2","1","0.00","1","1","4","1"
"7","32","0","1","4","3","0.00","0","2","4","0"
"65","56","1","19","3","34","0.00","1","2","4","0"
"64","37","0","10","4","9","0.00","1","1","2","0"
"4","30","0","0","2","0","0.00","0","2","3","1"
"67","45","1","22","3","11","0.00","1","2","2","0"
"22","35","0","12","2","3","0.00","0","2","2","1"
"51","37","1","17","2","10","0.00","1","2","3","0"
"50","28","0","6","1","10","0.00","1","1","3","0"
"31","47","1","18","2","0","0.00","0","2","1","0"
"4","28","0","0","2","3","0.00","1","1","3","1"
"60","56","0","19","4","11","0.00","0","1","4","0"
"7","31","1","12","2","7","0.00","1","6","1","1"
"20","40","0","2","4","15","0.00","1","1","2","0"
"19","23","1","4","3","1","0.00","1","4","3","1"
"58","37","1","5","4","8","0.00","1","2","4","1"
"65","64","0","20","3","26","0.00","1","1","4","1"
"72","61","1","34","1","8","0.00","0","3","2","0"
"8","42","0","3","3","10","0.00","0","1","4","0"
"33","40","1","14","3","5","0.00","0","2","1","0"
"18","34","1","4","2","14","0.00","1","5","4","0"
"24","31","1","6","2","13","0.00","0","5","3","0"
"70","36","0","8","1","15","0.00","1","1","2","0"
"7","38","0","4","4","4","0.00","0","1","4","1"
"70","59","0","27","1","19","0.00","1","1","3","0"
"20","48","1","21","3","2","0.00","1","2","3","1"
"54","32","1","12","1","9","0.00","0","2","2","0"
"36","48","0","28","1","2","0.00","0","1","1","0"
"71","53","1","29","4","0","0.00","1","2","3","0"
"17","41","0","4","2","3","0.00","0","1","3","0"
"18","45","1","17","1","9","0.00","0","3","3","0"
"16","27","0","8","5","0","0.00","1","1","4","1"
"38","30","1","6","2","3","0.00","1","2","2","0"
"52","45","1","19","3","9","0.00","1","3","4","0"
"46","48","1","12","3","25","0.00","0","6","4","0"
"31","46","0","23","4","13","0.00","0","1","3","0"
"23","31","0","10","4","0","0.00","0","2","2","0"
"38","56","1","34","2","0","0.00","1","3","3","0"
"50","54","0","15","3","28","0.00","1","1","3","0"
"16","49","0","17","2","5","0.00","0","1","4","0"
"14","34","1","4","4","1","0.00","1","2","4","0"
"30","52","0","23","3","3","0.00","1","1","2","1"
"22","47","1","0","4","11","0.00","1","3","4","1"
"38","55","1","12","2","24","0.00","0","4","4","0"
"59","26","1","3","4","1","0.00","1","3","2","1"
"54","55","0","1","3","33","0.00","0","1","3","0"
"9","40","0","13","4","7","0.00","1","1","4","1"
"67","67","1","38","2","10","0.00","1","2","2","0"
"24","44","0","19","3","0","0.00","1","2","1","0"
"12","55","1","13","1","5","0.00","1","2","2","1"
"26","47","0","13","3","0","0.00","0","1","2","0"
"3","32","0","4","2","11","0.00","0","4","4","1"
"20","46","0","2","5","4","0.00","1","2","4","0"
"5","52","1","0","5","9","0.00","0","2","4","1"
"58","53","0","19","3","12","0.00","1","1","4","1"
"54","28","1","2","3","3","0.00","0","4","1","0"
"52","39","0","6","3","18","0.00","1","1","1","0"
"38","30","1","10","1","5","0.00","1","4","1","0"
"19","46","0","5","3","17","0.00","0","1","1","0"
"22","33","1","2","1","3","0.00","0","4","1","0"
"49","35","1","15","4","4","0.00","0","5","2","0"
"5","39","0","0","1","0","0.00","1","2","3","0"
"18","69","0","28","1","17","1.00","0","1","1","0"
"43","29","0","4","1","13","0.00","1","4","3","0"
"17","50","0","2","5","19","0.00","0","1","4","1"
"37","33","0","4","3","8","0.00","1","3","2","1"
"8","39","0","0","1","7","0.00","1","1","1","0"
"51","46","1","8","2","21","0.00","1","6","3","0"
"71","55","1","11","1","31","0.00","1","3","3","0"
"56","53","1","23","5","14","0.00","1","2","2","0"
"70","68","0","21","2","45","0.00","0","1","3","0"
"62","53","0","14","3","26","0.00","1","2","3","0"
"50","52","1","22","2","27","0.00","1","2","4","0"
"1","31","0","3","5","2","0.00","1","3","1","1"
"15","26","0","1","4","1","0.00","0","2","4","1"
"72","55","1","24","3","25","0.00","1","2","2","0"
"69","47","1","10","2","24","0.00","0","4","3","1"
"32","44","0","10","2","24","0.00","0","1","3","0"
"19","25","1","6","4","0","0.00","1","2","3","1"
"42","54","0","19","3","10","0.00","1","1","4","0"
"51","49","0","29","1","16","0.00","0","1","1","0"
"32","22","1","2","2","2","0.00","1","4","3","1"
"26","55","1","13","1","26","0.00","0","2","3","0"
"39","44","1","14","4","18","0.00","0","2","4","0"
"72","53","0","12","2","32","0.00","1","1","4","0"
"4","39","0","11","4","1","0.00","0","2","4","1"
"54","50","1","5","4","20","0.00","0","3","3","0"
"34","40","1","21","4","9","0.00","1","3","4","0"
"20","25","1","4","4","0","0.00","1","3","1","0"
"14","49","0","4","1","8","0.00","0","1","1","0"
"61","59","0","26","1","40","1.00","1","1","3","0"
"4","24","0","2","4","0","0.00","0","1","1","1"
"16","48","0","25","2","13","0.00","0","2","3","1"
"13","41","0","9","2","12","0.00","1","3","1","0"
"53","37","1","18","3","6","0.00","1","2","2","1"
"58","36","1","13","2","8","0.00","1","7","4","1"
"25","38","1","19","1","19","0.00","1","2","3","0"
"71","61","1","19","3","30","0.00","0","2","3","0"
"22","33","1","13","5","0","0.00","1","4","4","1"
"46","48","1","15","3","20","0.00","0","2","3","0"
"66","50","1","2","5","24","0.00","0","2","2","0"
"69","58","1","29","2","7","0.00","1","3","4","0"
"38","49","1","3","4","11","0.00","0","4","2","0"
"16","35","0","7","3","3","0.00","0","1","1","0"
"44","39","1","8","2","8","0.00","0","4","4","0"
"50","50","0","24","1","8","0.00","0","1","3","0"
"10","23","0","1","4","0","0.00","1","1","4","0"
"7","41","0","6","2","16","0.00","0","1","4","0"
"71","48","0","25","3","19","0.00","0","1","1","0"
"16","39","1","5","1","4","0.00","1","5","1","0"
"6","20","0","0","2","0","0.00","1","2","3","0"
"46","55","0","24","2","35","0.00","0","1","3","0"
"51","49","1","13","3","27","0.00","0","4","3","0"
"5","34","0","12","2","2","0.00","0","2","1","1"
"49","54","1","23","2","1","0.00","1","4","1","0"
"49","51","1","14","5","16","0.00","0","2","2","0"
"26","30","1","4","3","7","0.00","0","2","1","0"
"22","39","0","4","2","17","0.00","1","1","4","1"
"51","45","1","4","3","6","0.00","0","2","4","0"
"19","27","1","7","4","1","0.00","0","4","4","1"
"9","36","0","1","3","11","0.00","1","5","3","1"
"15","25","1","0","3","2","0.00","1","2","1","0"
"57","63","0","19","1","27","0.00","0","1","3","0"
"48","45","0","15","1","10","0.00","1","2","1","0"
"9","53","1","20","2","13","0.00","1","2","1","1"
"61","52","0","21","1","18","0.00","0","1","3","0"
"72","53","0","34","1","23","0.00","0","1","3","0"
"57","60","0","20","2","27","1.00","1","1","3","0"
"57","51","0","10","1","13","0.00","0","1","2","0"
"37","60","1","0","1","20","0.00","0","3","3","0"
"45","51","0","13","4","16","0.00","0","2","1","0"
"45","39","1","15","1","11","0.00","1","5","1","0"
"55","44","0","24","1","23","0.00","1","1","3","0"
"24","27","0","2","3","3","0.00","0","5","2","1"
"1","20","0","1","3","0","0.00","0","1","1","1"
"34","23","1","3","1","7","0.00","1","4","3","0"
"14","37","1","5","3","1","0.00","1","4","1","0"
"6","32","0","10","1","10","0.00","0","1","3","0"
"24","30","0","0","4","5","0.00","0","2","4","1"
"3","26","1","6","4","0","0.00","1","3","4","1"
"4","30","0","1","4","6","0.00","0","3","4","1"
"72","40","1","19","4","15","0.00","0","2","2","0"
"44","56","0","4","2","6","0.00","1","1","3","1"
"50","43","0","6","3","4","0.00","0","1","3","0"
"61","50","1","16","2","22","0.00","1","2","2","0"
"34","52","1","2","2","19","0.00","0","2","3","0"
"26","54","1","30","3","1","0.00","1","2","4","1"
"15","46","1","17","5","1","0.00","0","2","4","1"
"10","39","0","0","3","0","0.00","1","3","1","0"
"7","34","0","2","5","5","0.00","1","1","1","0"
"67","59","0","40","5","33","0.00","1","1","4","0"
"70","49","0","18","2","22","0.00","1","1","3","0"
"50","36","1","7","3","3","0.00","1","3","2","1"
